source_block,cue_id,start_seconds,end_seconds,text
1,1,0.0,2.6,episodio 42
2,2,2.6,8.47,[Música]
3,3,27.57,31.32,bienvenidos a otro episodio del podcast
4,4,31.32,34.02,l geteccu en el cual hemos venido
5,5,34.02,36.3,platicando sobre temas de la diversidad
6,6,36.3,39.3,sexual para este episodio vamos a
7,7,39.3,42.42,regresar al tema del travestismo y digo
8,8,42.42,44.73,regresar porque los primeros recordarán
9,9,44.73,47.76,ya habíamos abordado las identidades las
10,10,47.76,49.95,orientaciones con los testimonios de
11,11,49.95,53.19,personas correspondientes al grupo que
12,12,53.19,56.01,se le estaba dando visibilidad y el
13,13,56.01,58.41,travestismo fue previamente abordado
14,14,58.41,61.949,pero desde una postura desde una forma
15,15,61.949,64.68,de expresión del género es una expresión
16,16,64.68,68.52,como arte como tú proyectas lo tienes en
17,17,68.52,71.31,la cabeza como tú empoderadas a través
18,18,71.31,73.32,de este personaje pero en esta ocasión
19,19,73.32,75.6,vamos a platicar del travestismo pero
20,20,75.6,77.27,desde otra perspectiva
21,21,77.27,80.939,también existe el travestismo por una
22,22,80.939,84.299,identidad es decir la persona se
23,23,84.299,88.77,traviste utilizar ropa más alineada al
24,24,88.77,92.22,género que siente en su interior esto es
25,25,92.22,93.3,de manera
26,26,93.3,95.1,al vocacional en un escenario
27,27,95.1,99.42,determinado o por algún otro factor que
28,28,99.42,101.61,esté impidiendo que inicie su proceso de
29,29,101.61,104.49,transición o simplemente también es
30,30,104.49,107.73,posible que no inicie ese proceso por
31,31,107.73,110.54,gusto propio o sea porque no desea
32,32,110.54,114.12,alinear su cuerpo o empezar con las
33,33,114.12,117.3,hormonas etcétera pero vamos a tener una
34,34,117.3,120.84,invitada que nos va a poder compartir su
35,35,120.84,123.03,testimonio y sus razones del por qué
36,36,123.03,126.39,ella no ha comenzado con este proceso
37,37,126.39,131.479,transitorio así que vamos a comenzar
38,38,139.26,142.72,[Música]
39,39,146.59,150.01,el travestismo o trans best ismo es una
40,40,150.01,152.11,expresión de género e identidad de
41,41,152.11,154.33,género en la que una persona se expresa
42,42,154.33,156.93,a través de la vivencia personal
43,43,156.93,159.64,esto puede involucrar la modificación de
44,44,159.64,162.19,la apariencia con la función corporal a
45,45,162.19,164.25,través de medios farmacológicos
46,46,164.25,167.56,quirúrgicos o de otra índole siempre que
47,47,167.56,170.86,ellos sea libremente escogido también
48,48,170.86,173.47,incluye otras expresiones de género como
49,49,173.47,175.81,la vestimenta el modo de hablar y los
50,50,175.81,179.05,modales la identidad travesti tiene
51,51,179.05,181.3,diferentes connotaciones dependiendo del
52,52,181.3,185.739,contexto temporal cultural y regional a
53,53,185.739,187.48,pesar de que durante muchos años se
54,54,187.48,190.15,utilizó de modo despectivo e insultante
55,55,190.15,192.159,el colectivo trans travestis
56,56,192.159,195.489,transexuales y transgénero apropió el
57,57,195.489,198.64,concepto y lo resignificó convirtiendo
58,58,198.64,200.98,el estigma en un emblema de lucha
59,59,200.98,202.78,colectiva
60,60,202.78,204.819,la diferencia entre el travestismo y la
61,61,204.819,207.67,transexualidad es que en el primero se
62,62,207.67,210.189,expresa o se tiene la intención de
63,63,210.189,212.909,expresar una discordancia
64,64,212.909,215.95,entre el sexo de cada persona y los
65,65,215.95,218.769,roles asignados a cada género mediante
66,66,218.769,221.56,una representación a veces exagerada de
67,67,221.56,224.709,rol del género contrario mientras que en
68,68,224.709,226.51,la transexualidad existe una
69,69,226.51,229.75,discordancia real interna entre la
70,70,229.75,232.12,identidad de género propia y el sexo
71,71,232.12,234.219,biológico transgrediendo así el sistema
72,72,234.219,237.37,si es género pasando a ser una persona
73,73,237.37,239.2,transgénero
74,74,239.2,241.12,en palabras más sencillas y en
75,75,241.12,243.7,referencia a una persona transexual el
76,76,243.7,246.15,travestismo es la acción de expresarse
77,77,246.15,248.02,socialmente de una manera concordante
78,78,248.02,250.209,con la propia identidad de género y
79,79,250.209,252.06,discordante del sexo biológico
80,80,252.06,254.8,convirtiéndolo así el travestismo en una
81,81,254.8,258.419,conducta transgénero
82,82,259.01,261.62,ya vamos a pasar a la plática con
83,83,261.62,263.96,nuestra invitada para el episodio del
84,84,263.96,265.44,día de hoy
85,85,265.44,271.18,[Música]
86,86,272.79,276.06,mientras esté donde vives y cuál es tu
87,87,276.06,280.19,en este caso tu identidad de género
88,88,281.78,286.41,hola yo estoy así y romina luna tengo 26
89,89,286.41,290.61,años y vivo en la ciudad de puebla y mi
90,90,290.61,296.24,identidad de género es confuso jajaja
91,91,296.85,300.93,estoy en una es una chica trans una
92,92,300.93,302.93,persona a través de una persona que
93,93,302.93,307.05,viste de un género opuesto en
94,94,307.05,310.74,determinado tiempo determinado fecha en
95,95,310.74,313.5,solo que es como un momentáneo baja como
96,96,313.5,317.37,para algún evento o nada más por el
97,97,317.37,320.63,gusto de vestirte entonces llevas tu
98,98,320.63,324.6,vida en el rol en el que naciste pero te
99,99,324.6,327.09,vistes del rol del género contrario
100,100,327.09,329.97,perder varones no piensa el ranking es
101,101,329.97,333.27,un tipo de pedráz el trasvestismo pero
102,102,333.27,337.49,creo yo que depende la como el contexto
103,103,337.49,340.25,por ejemplo puede ser que yo inicié
104,104,340.25,343.069,atrás vestirme a mí me preguntaban de
105,105,343.069,345.05,qué te vas a operar las chichis que no
106,106,345.05,347.389,es que yo no estoy muy cómodo con mi
107,107,347.389,349.569,cuerpo
108,108,349.66,353.44,pero luego entonces
109,109,353.44,355.669,ubicas parodiando alguna vez lo viste
110,110,355.669,358.61,soy claro bueno el chico esté pagella
111,111,358.61,360.77,arámbula
112,112,360.77,362.66,a la vida a mí me gusta cantar y desde
113,113,362.66,365.389,que yo era chiquito mi yo ya que quería
114,114,365.389,367.25,ser artista y cantante y nos que
115,115,367.25,370.789,entonces lo veo a él haciendo pues lo
116,116,370.789,373.039,que nadie hacia no aparte de ser muy
117,117,373.039,375.77,bonita y cantar precioso y demás está
118,118,375.77,378.319,imitando una voz que no era la de él que
119,119,378.319,380.0,no estaba en su rango vocal que te
120,120,380.0,381.289,escuché es un timbre de voz y es
121,121,381.289,383.389,completamente diferente al de una mujer
122,122,383.389,387.65,no entonces es como que me nació esa esa
123,123,387.65,389.96,chispita y dije algo ahí ahí que puedo
124,124,389.96,392.569,yo hacer entonces empecé a dando mucho
125,125,392.569,395.419,otra vez pero yo inicié cantando como
126,126,395.419,397.729,gloria trevi igual como él lo hacía yo
127,127,397.729,399.74,conmigo y me di cuenta que también me
128,128,399.74,402.139,salían voces intuición hacía
129,129,402.139,404.87,leiva ni nada de eso si inicias y por
130,130,404.87,407.21,esa razón no empecé a vestir ya sabes
131,131,407.21,409.61,que cuando inicias pues parece está mal
132,132,409.61,412.819,mal envuelto y todo eso no la verdad es
133,133,412.819,415.58,que yo inicia así o sea 9 20 o sea no
134,134,415.58,420.789,tuve hermanas mamás trabajos a cero
135,135,421.84,424.879,youtube ver vídeos y me como una idea
136,136,424.879,428.05,pero obviamente estaba yo bien
137,137,433.029,435.65,porque estúpida no quedó nada que
138,138,435.65,439.279,trabajar con él ha recordado por favor
139,139,439.279,443.09,tengo 26 años el tren de mar 27 aunque
140,140,443.09,445.939,ya qué edad comenzó está parodiando
141,141,445.939,447.979,tiene que salió no recuerdo en qué
142,142,447.979,450.08,edición salió para ver claro que lo
143,143,450.08,452.199,ubicó a él porque fue muy icónica su
144,144,452.199,454.819,participación justo por por las voces no
145,145,454.819,457.759,que lograr imitar y e increíble todo
146,146,457.759,459.83,pero cuántos años tiene de eso que tú
147,147,459.83,462.68,vienes haciendo esta actividad como 89
148,148,462.68,465.05,años yo creo por eso que el que yo
149,149,465.05,467.09,recuerde mi voz mi timbre de voz yo creo
150,150,467.09,468.34,que como muy así
151,151,468.34,471.68,15 la voz de joe cuando intento por
152,152,471.68,473.78,ejemplo cantar una canción de alejandro
153,153,473.78,476.12,fernández o sea tengo que fingir la voz
154,154,476.12,478.4,porque realmente este es mi voz pero
155,155,478.4,480.919,entonces ya sabes no estás haciendo la
156,156,480.919,485.259,limpieza y estás detrás de mi ventana
157,157,485.949,489.349,entonces me decían como que tenía bonita
158,158,489.349,491.09,voz sino es que pero como que no me
159,159,491.09,493.939,creía capaz porque lo puedo ver como más
160,160,493.939,497.0,tangible pues cantando como rara y por
161,161,497.0,500.449,ejemplo no no nada más serán artistas
162,162,500.449,503.629,los meter o cantantes de pronto chávez
163,163,503.629,508.18,la india maría no esté
164,164,510.039,513.58,completamente conmigo
165,165,515.529,519.669,en ese programa
166,166,520.039,522.49,de hecho de hecho fíjate que un
167,167,522.49,525.9,programa que se llamaba aceite doble
168,168,525.9,530.13,de azteca y va como el mismo giro mande
169,169,530.13,532.67,me voy me invitan al casting de
170,170,532.67,536.07,presencia del ajusco pero entonces que
171,171,536.07,538.47,ya sabéis pues nunca me había ido tan
172,172,538.47,539.97,siquiera viajaba yo al centro para que
173,173,539.97,542.37,te des una idea es mucho menos nueve
174,174,542.37,544.56,llorar ciudad de méxico y en ese tiempo
175,175,544.56,547.05,mis papás como que no les encantaba la
176,176,547.05,548.97,idea de que o bueno no sé si hoy en día
177,177,548.97,551.07,les encanta pero antes no les encantaba
178,178,551.07,553.32,esa idea de que me dedicara a cantar
179,179,553.32,555.87,entonces les dije pero no no me apoyaron
180,180,555.87,560.31,y pues no fue porque entonces aquí antes
181,181,560.31,562.44,de que me vayas adelantando a tus papás
182,182,562.44,564.99,lo saben pero no lo apoyan o se lo
183,183,564.99,567.3,imaginan o saben que no lo haces para un
184,184,567.3,570.15,trabajo que es lo que yo sabe mira mi
185,185,570.15,573.27,mamá sabe hoy en día todo de mí yo como
186,186,573.27,577.42,te llevo una vida de niño bueno
187,187,577.42,579.65,o sea traigo unas dichas uñas
188,188,579.65,581.71,larguísimas de que el cabello largo y
189,189,581.71,584.12,pestañas postizas
190,190,584.12,588.11,pero bueno entonces es ella ella fue mi
191,191,588.11,591.38,primer show por ejemplo entonces digamos
192,192,591.38,592.43,que en ese entonces yo no tenía una
193,193,592.43,594.32,buena relación con ella entonces pues
194,194,594.32,596.09,como que no lo apoyaba no ya decía que
195,195,596.09,598.61,me dedicara estudiar o cosas así que se
196,196,598.61,600.17,lo que para que como pasatiempo y demás
197,197,600.17,602.6,esa era como su idea pero no me la supo
198,198,602.6,604.46,transmitir es como que la verdad me
199,199,604.46,606.83,desánimo pues dejé de hacerlo pero si
200,200,606.83,610.13,ella fue a mí a mi primer show y
201,201,610.13,612.71,llevamos de que a sus amigas lesbianas y
202,202,612.71,615.05,así es este interesante que como a veces
203,203,615.05,617.2,los padres pueden apoyar y tener amigos
204,204,617.2,619.85,pero como que en su casa les cuesta a
205,205,619.85,621.38,veces fíjate que apenas estado yo
206,206,621.38,624.2,tomando está esta plática con los ojos
207,207,624.2,626.48,muy tolerante estos somos súper open
208,208,626.48,628.49,match todos somos súper chivos pero no
209,209,628.49,631.07,sé qué hasta que realmente tienes el
210,210,631.07,634.12,problema en tu casa
211,211,634.51,637.99,a preferencia sexual los dos somos super
212,212,637.99,639.34,tolerantes por ejemplo ahorita con el
213,213,639.34,641.83,aborto porque alguien en tu casa a ver
214,214,641.83,644.98,cómo lo coma a ver al médico de acuerdo
215,215,644.98,646.9,entonces creo que realmente todos
216,216,646.9,649.6,empezamos a desarrollar conciencia hasta
217,217,649.6,653.11,que realmente lo vivimos entonces creo
218,218,653.11,655.39,también por ejemplo el mejor amigo de mi
219,219,655.39,658.87,mamá era era gay por el murió de sida
220,220,658.87,661.03,antes también esto fue como un golpe muy
221,221,661.03,663.22,fuerte para mi mamá y alimento como
222,222,663.22,665.38,muchos de esos inseguridades es que
223,223,665.38,667.54,ustedes no se quede y mira lo que te
224,224,667.54,670.51,puede pasar se sabe el amor se convirtió
225,225,670.51,672.82,en sobreprotección y en la
226,226,672.82,675.64,sobreprotección muchas veces lástima
227,227,675.64,678.01,muchas veces te cortan las alas porque
228,228,678.01,680.83,mucho me pasó de eso o bueno yo permití
229,229,680.83,682.75,como caer en el mismo sistema de
230,230,682.75,685.36,creencias que al final eran ni siquiera
231,231,685.36,688.45,de mi mamá eran de su amigo cambio bueno
232,232,688.45,691.36,pues al ser muy cercano pues lo vivió
233,233,691.36,693.43,muy mal obviamente cuando tienes algo
234,234,693.43,696.43,así en tu casa en este caso familiar
235,235,696.43,699.1,pues no esperas no tiene capaz de algo
236,236,699.1,700.78,yo pueda lastimar reír a alguien que
237,237,700.78,703.09,quieres es muy cierto es que dice si
238,238,703.09,704.86,tienes toda la razón creo que es muy
239,239,704.86,707.71,distinto tener un amigo a que tu hijo no
240,240,707.71,709.81,y justo por eso en el compás también
241,241,709.81,711.82,creo que también tuvieron el tema de mi
242,242,711.82,713.95,infancia y mi juventud como que me
243,243,713.95,716.05,acuerdo que hasta el personaje le hacían
244,244,716.05,717.97,tal cosa por esas vivencias se les
245,245,717.97,719.47,generan unas connotaciones súper
246,246,719.47,722.05,negativas del tema entonces sí tiene una
247,247,722.05,724.66,razón pero dentro de todo digamos que
248,248,724.66,727.39,hubo un apoyo para ti y diego apoyo no
249,249,727.39,728.92,era el apoyo que yo quería o el que
250,250,728.92,730.87,estaba esperando no de pronto yo estaba
251,251,730.87,732.52,esperando como en que todo fuera una
252,252,732.52,734.98,cama de rosa pues no al final la
253,253,734.98,736.72,relación o sea para que yo hoy en día
254,254,736.72,739.18,tenga una relación con mi mamá tuvieron
255,255,739.18,741.28,que pasar mil cosas muchos años salir
256,256,741.28,744.04,del closet a los 12 años gigante hoy en
257,257,744.04,746.38,día a mis 26 años estoy disfrutando la
258,258,746.38,749.25,relación con mi mamá échale cuentas
259,259,749.25,751.99,largo el proceso realmente si no están
260,260,751.99,754.6,esos cortos de ahí ya le dije ya me
261,261,754.6,756.43,senté a contarle los hombres obviamente
262,262,756.43,759.67,no justo justo estaba yo hablando hay
263,263,759.67,762.34,una niña trans que está iniciando su
264,264,762.34,765.24,transición y es cercana bueno es prima
265,265,765.24,768.24,de una amiga y justo estaba yo como me
266,266,768.24,770.43,dio la oportunidad de que platicarán y
267,267,770.43,773.25,mi familia les está apoyando de una
268,268,773.25,775.769,manera muy padre pero también hay
269,269,775.769,779.37,cuestiones donde existe una residencia y
270,270,779.37,781.74,de pronto hablando le dije te voy a
271,271,781.74,783.899,decir algo que me decían y me cagaba o
272,272,783.899,786.18,también estaba que mi hija era tranquila
273,273,786.18,789.36,todo mejora o sea mejor aquí cuando has
274,274,789.36,791.519,llorado o sea como como me doy cuenta no
275,275,791.519,793.86,sé si eso sea y elegir posiblemente
276,276,793.86,795.959,ahorita que te diga puedo mejorar me vas
277,277,795.959,797.49,a decir lo mismo en tu mente o en
278,278,797.49,800.19,palabra no sé pero te digo algo o ya mis
279,279,800.19,802.649,26 años con la vida que llevo con lo que
280,280,802.649,805.47,me ha costado con lo que he pasado con
281,281,805.47,807.6,lo que me ha levantado y además si te
282,282,807.6,809.91,puedo decir que todo mejora entonces
283,283,809.91,813.149,como como experiencia como consuelo si
284,284,813.149,815.94,hay chicos chicas que estén iniciando en
285,285,815.94,819.36,un proceso similar no nada más en
286,286,819.36,822.61,cuestión trans travesti o sea con todas
287,287,822.61,824.53,estas nuevas identidades que hay que
288,288,824.53,826.0,digo en mis tiempos no me tocaron por
289,289,826.0,828.76,ejemplo te puedo decir que todo mejora
290,290,828.76,832.63,cosas como una una lucecita al final del
291,291,832.63,835.03,camino pero hay que ser pacientes
292,292,835.03,837.67,debemos ser fuertes debemos llamarlos
293,293,837.67,841.24,amarnos a morir o sea en verdad marte
294,294,841.24,843.73,con todo lo que eres creo que esa van a
295,295,843.73,846.73,ser las mejores armas para para poder
296,296,846.73,849.13,defenderse en la vida porque cuando tú
297,297,849.13,851.77,te amas no no no permites posar pones
298,298,851.77,854.89,límites aprendes también a compartir
299,299,854.89,857.98,contigo mismo contigo misma al no
300,300,857.98,859.93,juzgarse no porque muchas veces es lo
301,301,859.93,862.81,que nos pasa al menos a mí muchas veces
