source_block,cue_id,start_seconds,end_seconds,text
1,1,0.0,1.81,episodio 6
2,2,1.81,7.9399999999999995,[Música]
3,3,11.69,14.77,[Música]
4,4,27.31,30.939,venid es a otro episodio del podcast del
5,5,30.939,33.01,eje de tq en el cual hemos venido
6,6,33.01,35.379,platicando sobre diversidad sexual y
7,7,35.379,38.199,para este episodio la mayoría de los
8,8,38.199,41.23,hombres nacen con pene pero hay algunos
9,9,41.23,43.12,que han nacido con vulva los hombres
10,10,43.12,44.86,sexuales y la mayoría de las mujeres
11,11,44.86,47.019,tienen vulva pero algunas nacieron con
12,12,47.019,49.33,pene las mujeres transexuales y para
13,13,49.33,51.43,comenzar vamos a tener una conversación
14,14,51.43,55.409,con una mujer con texto
15,15,61.87,64.979,[Música]
16,16,68.78,70.48,o no
17,17,70.48,72.79,hola hola mi nombre es estrella mejía
18,18,72.79,75.88,soy chica transexual de 32 años de edad
19,19,75.88,78.12,radicado en la ciudad de iguala guerrero
20,20,78.12,81.46,méxico como comienzas a darte cuenta que
21,21,81.46,84.07,lo que estabas viendo un espejo de lo
22,22,84.07,87.67,que realmente tu crees mira lo que esto
23,23,87.67,90.94,comienza desde que naces creo que tengo
24,24,90.94,93.67,memoria esa razón eléctrica donde niños
25,25,93.67,97.38,y pues siempre me sentí como que niñas
26,26,97.38,100.87,nunca como que la confusión en mi mente
27,27,100.87,103.81,de que lo que yo lo que yo quería lo que
28,28,103.81,105.94,me traía haciendo mientras sean los dos
29,29,105.94,108.7,niños del jardín de niños y siempre mi
30,30,108.7,112.5,forma más más femenina
31,31,112.5,115.39,entonces pues mi vida fue creciendo y
32,32,115.39,117.7,creciendo pero mi familiar se dio cuenta
33,33,117.7,120.43,y nunca fue como obsesión de que termina
34,34,120.43,122.8,bien lo hace esto el otro a pesar de que
35,35,122.8,124.93,pues soy de familia de carpinteros
36,36,124.93,127.51,nombras sino obligó a trabajar como como
37,37,127.51,129.67,hombres pues creo que mi familia como
38,38,129.67,132.07,que también contribuye mucho a que no me
39,39,132.07,134.739,pudiera desplazar a pensar
40,40,134.739,138.53,de la familia nunca tuve ese problema de
41,41,138.53,141.069,identidad siempre supe lo que quería
42,42,141.069,143.84,solamente no es tener la información de
43,43,143.84,146.959,cómo comenzar en las clases y más allá
44,44,146.959,149.359,de tu familia comienza nada a tomar esto
45,45,149.359,152.09,pues mira creo que sea como siempre he
46,46,152.09,153.95,dicho yo no sé lo importante pues que
47,47,153.95,156.019,siempre ha sido la familia ya que te
48,48,156.019,158.329,apoye que respete a la familia y ya pues
49,49,158.329,160.34,los terceros pues viene sobrando lo que
50,50,160.34,162.019,es lo que su opinión sea creo que lo
51,51,162.019,164.15,importante de una persona gay transexual
52,52,164.15,166.31,bisexual lo que tú quieras siempre se va
53,53,166.31,169.189,saber a la sociedad si la familia está
54,54,169.189,171.68,en su la espalda y pues no no fue como
55,55,171.68,173.48,que también tienen les da la explicación
56,56,173.48,176.84,a las demás gentes se fue como que si te
57,57,176.84,179.449,parece bien si no pues también no estoy
58,58,179.449,182.299,como afrontar a la gente si la gente ve
59,59,182.299,184.669,que tu familia no te apoya pues más está
60,60,184.669,187.37,pic y piquet ipyc y piqué y te hace la
61,61,187.37,189.23,vida de cuadritos pero cuando las
62,62,189.23,191.78,personas pues nos vale ahora sí lo que
63,63,191.78,194.449,no se meta pues ya nos hayan y te toman
64,64,194.449,197.209,en cuenta para hacerte sentir más claro
65,65,197.209,200.7,cómo es que comienza este proceso
66,66,200.7,203.19,es una historia un poquito larga pero
67,67,203.19,205.65,fue por una decepción o sea yo estaba no
68,68,205.65,207.36,sabía la información de que una
69,69,207.36,209.55,transexual mente te está escuchando
70,70,209.55,214.62,entonces es una de las 107 años y entre
71,71,214.62,216.72,esa relación pues resulta que el chico
72,72,216.72,218.97,me dijo qué bueno yo siempre soy
73,73,218.97,220.59,femenina eso siempre yo traía el cabello
74,74,220.59,223.17,largo como hasta los hombros me parece
75,75,223.17,225.69,que yo trataba yo de ver más meninas sin
76,76,225.69,227.849,saber todo el proceso que existía
77,77,227.849,229.98,entonces el estudio comienza esa
78,78,229.98,232.29,relación con un chico que me dice que
79,79,232.29,234.48,entonces de verme más masculino para que
80,80,234.48,237.569,podamos salir a discos sumo a comer o
81,81,237.569,241.26,casi tanto como que de cambiar un
82,82,241.26,242.18,poquito
83,83,242.18,244.349,inconclusos a mí porque él sabe y todo
84,84,244.349,246.989,pasó pasó un año de la educación de
85,85,246.989,249.959,escondidas obvio y este y que me dice
86,86,249.959,252.209,que siempre enojo que no le dejaban nada
87,87,252.209,254.519,los chicos que usaban las chicas y pues
88,88,254.519,256.59,fue esa descripción que me llevó a mí a
89,89,256.59,259.829,buscar una a una chica estás muy
90,90,259.829,262.109,conocida aquí en mi ciudad y ella fue
91,91,262.109,266.16,como kg la emisión inicial de hormonas
92,92,266.16,268.25,tomara que
93,93,268.25,271.74,entonces yo comienzo de la transición y
94,94,271.74,274.41,la transición la viven igual todas las
95,95,274.41,277.32,chicas trans o varía dependiendo ciertas
96,96,277.32,279.51,características físicas yo digo que
97,97,279.51,282.33,prever que mira yo siempre tenga como
98,98,282.33,284.82,que mi familia muchas descripciones bien
99,99,284.82,287.73,no eran como que yo de andar así tenía
100,100,287.73,289.35,libertad pero no era como cantante
101,101,289.35,291.51,libertinaje cayó bajo la nota no vengan
102,102,291.51,294.93,o sea yo no tenía mucha información en
103,103,294.93,297.15,ese aspecto no entonces es así muchas
104,104,297.15,299.52,chicas por ejemplo a los 12 años ya
105,105,299.52,301.65,tiene amiguitos gate a sus amiguitas que
106,106,301.65,303.33,siempre una vez siento ahí se comienza a
107,107,303.33,306.3,la génesis 20 tomates tormo now tomates
108,108,306.3,308.64,empiezan a ver desde temprana edad en mi
109,109,308.64,311.31,caso pues no porque no tenía amistades
110,110,311.31,314.22,gays transexuales o no yo no sé yo
111,111,314.22,316.8,desconocía yo hasta esa ocasión yo
112,112,316.8,318.98,conocía este bueno ya la conocida en
113,113,318.98,320.85,periódicos eso porque era muy muy
114,114,320.85,322.56,conocido aquí en igualdad y la voy a
115,115,322.56,324.18,buscar y ya me dice ay no sabes que
116,116,324.18,327.24,santi flacas tomate su y ponte soy esto
117,117,327.24,330.0,y me da en el clandestino puedes decirlo
118,118,330.0,332.97,de hormonas y yo comienza con limón pero
119,119,332.97,335.16,eso que es tan importante que estuvo
120,120,335.16,338.009,ahora que las personas se acerquen con
121,121,338.009,339.69,un especialista
122,122,339.69,342.15,no hay ningún riesgo estos tíos al rezo
123,123,342.15,343.83,mina aunque efecto con una especialista
124,124,343.83,347.099,en el riesgo existe porque tu cuerpo
125,125,347.099,349.71,está absorbiendo hormonas que al final
126,126,349.71,352.889,al final se van al piñón entonces es
127,127,352.889,355.5,medicamento y que te va a dañar el
128,128,355.5,358.229,organismo en un largo tiempo pero pues
129,129,358.229,359.909,obvio que mejor con una especialista te
130,130,359.909,361.949,va a limitar a tomar las pastillas
131,131,361.949,364.199,adecuadas o indicaciones adecuadas para
132,132,364.199,369.18,que sea este es que te afecta totalmente
133,133,369.18,372.0,enfermedad las hormonas pues tienen que
134,134,372.0,373.62,ser de por vida porque pues la dejamos
135,135,373.62,375.75,de tomar y comenzamos con los rasgos
136,136,375.75,378.11,masculinos
137,137,378.69,382.02,y el vello facial la voz empieza otra
138,138,382.02,384.65,vez a rozar o sea es como retroceder
139,139,384.65,386.88,entonces si el momento es como que bueno
140,140,386.88,388.11,yo me en caso como que si me hecho
141,141,388.11,389.849,quedan hormonas y digo hay agua de
142,142,389.849,392.759,huesca son tiempo pero hoy al cabo de un
143,143,392.759,395.13,año dos años ya comienza estoy
144,144,395.13,398.46,regresando entonces bueno a comenzar con
145,145,398.46,401.64,las hormonas los cambios que tengan las
146,146,401.64,403.83,hormonas son únicamente los que
147,147,403.83,405.78,mencionaste o también empieza a ver el
148,148,405.78,408.87,crecimiento en otras áreas mira pues es
149,149,408.87,411.77,muy difícil que porque pues no sea como
150,150,411.77,414.6,biológicamente hombres pues no el cuerpo
151,151,414.6,417.15,no va a llevar la grasa lo que es que de
152,152,417.15,420.03,las piernas y pompano senos pero si te
153,153,420.03,421.77,empieza como que trabajar que el que el
154,154,421.77,424.23,busto que la cara que la piel hace
155,155,424.23,426.0,muchos muchos detallitos pues muchas
156,156,426.0,427.86,chicas pues si se desesperan realizarles
157,157,427.86,430.26,el ver no ver cambios y otros métodos
158,158,430.26,432.93,más peligrosos pero puede que no así que
159,159,432.93,435.03,estos son como las cirugías inyecciones
160,160,435.03,437.07,sin ser indie pues lo más son
161,161,437.07,439.23,escandalosos las buenas cirugías pero
162,162,439.23,441.09,pues también tienes un riesgo que tan
163,163,441.09,442.92,costoso es el tratamiento de las
164,164,442.92,445.74,hormonas mira pues éste en la mayoría va
165,165,445.74,447.74,a fondo va a buscar una clínica
166,166,447.74,450.57,inducidas que pagar en y no logo en
167,167,450.57,453.51,análisis clínicos y todo y te empiezan
168,168,453.51,455.52,un poquito con poquito muchas chicas
169,169,455.52,458.13,trans se desesperan y buscan rápido
170,170,458.13,460.59,entonces es cuando se automedican
171,171,460.59,464.16,que sale prácticamente económico pero
172,172,464.16,467.73,muy chicas abusan del medicamento y que
173,173,467.73,470.16,han hormonas hasta cuatro hormonas al
174,174,470.16,472.26,día o cuatro inyecciones al día existen
175,175,472.26,475.47,o están exagerando en la cantidad de
176,176,475.47,477.99,medicamentos pero si has de cuenta que
177,177,477.99,480.42,bueno en mi caso que tendrán como que
178,178,480.42,484.79,límite una caja de estrógenos me cuesta
179,179,484.79,488.85,250 trae 40 pastillas y es una pérdida
180,180,488.85,491.7,diaria o así yo me la tomo pues muchas y
181,181,491.7,494.22,tan se toma en 43 pastillas diarias pero
182,182,494.22,496.5,yo no yo me tomo una pastilla diaria y
183,183,496.5,498.78,debo terminar con una inyección que es
184,184,498.78,503.13,este que ya es una inyección y me cuesta
185,185,503.13,506.43,45 pesos esa la aplicó una cada ocho
186,186,506.43,509.04,días pero como debo repetir mucho si
187,187,509.04,512.96,acaso me den hasta diez a la semana
188,188,516.2,520.29,entonces como que cada quien a su
